這種人還會有人支持嗎？,怎麼會有人死粉支持,真的還有人支持有他嗎,不支持同志
發現職校的學歷好像在擇偶市場並沒有那麼受歡迎，,不知道有沒有想法跟我一樣的男生呢？,但我覺得其實科大也不乏許多聰明、有人生規劃的女生，,總覺得讀程度一般的大學的女生最有魅力（
先囤一波不吃的、快壞掉的、被蟲咬爛的，,女生最好去隨便找份工作，,直接發文假求救真抱怨，,然後在裡面找個有工作的嫁掉就好了
並沒有出現我想要看到的內容,明明歌詞表現出來像是不需要男性,才盡力解釋這個MV想要傳達什麼含意,所以非常感謝很多人認真解釋
因此那些台灣男生才會覺的女權是不是都是這樣的人。,你會看到女生在罵，,我相信台灣還是有很多女生（,而女生外遇則是會被說老公對她不好、性生活不美滿導致；（
真的不想再看到發文說這禮拜賠了多少積蓄==,本來想說今天再跌一根就進去接,要知道跌一根就是幾萬塊的事（,看到好多粉頭（
而當事人妞妞表示，,認為該公司是因妞妞的性別認同而產生的廁所問題不予錄用，,法院認為公司此舉「看似為中立性決定，,此案的判決並未要求雇主另外建置其他性別友善廁所，
我們女生,為什麼我們瘦弱女生,可以給男生賺啊！,不要被男生一言堂了！
我就是那種女生，,女生成績都比男生好是不是因為女生不會有很多興趣，,以前約會的男生都是同溫層內找的，,不像那種女生啊～
想問是不是職場提供友善廁所，,因為在這個職場一般的女生幾乎不可能選擇上友善廁所,明明是友善廁所卻上得如此不舒服。,而跨性別就應該只能去友善廁所呢？
!在畢業前的這段時間我們更常一起活動了!玩桌遊、看電影、聊小說、她看著我畫畢業海報、拍畢業照，,當然不可能!在畢業後我們還是最少一週會有一天在聊的!!在畢業後我們各自分到了不同的學校，,然後全班都哭了...又或許是舍不得些什麼吧…時間其實過的蠻快的...轉眼間就分開了...,而且第二天的行程真的是沒什麼好講的無聊到我看著打鼓表演看到睡著😂就這樣來到了第二間飯店，
https://i.imgur.com/SA5i0o3.png,任何議題用性別作為族群的分類，,晚間相繼發文回應，,柯文哲今天於防疫記者會表示，
女生講話，,男生講話，,俗話說：「大人講話，,小孩子旁邊玩沙」
不是只有女孩子抽菸不好，,因為女孩子抽菸很難看。,抽菸本身就不好，,除非對方本身不抽菸，
https://i.imgur.com/wHuTkuh.jpg,https://i.imgur.com/iU9Z4dd.jpg,https://i.imgur.com/gshy7Ls.jpg,https://i.imgur.com/d7G2sVE.jpg
因為現代討論的議題涉及太多我們沒有能力判斷對錯的領域，,「只思考卻沒行動就沒辦法驗證」這個主張當然是正確的，,所以即使自己當下認為是有利反駁，,荒謬化對方觀點的理由，
有點不舒服，,第一天上午工作內容是清理老舊辦公室及廁所，,只叫我們一直做很辛苦的農務（,那個辦公室有螞蟻窩(地板全都是螞蟻)、蜂窩、天花板牆上佈滿蜘蛛網、蟋蟀，
更：某些男生只會躲在螢幕後面罵女生，,只罵女生也不太對吧,然後你各位男生再想想看,如果是你暗戀的女生跟你說「敢玩敢當，
要不是我最近回家不然根本沒人在用,我爸見到我就唸我幹嘛一直躲在房間，,卻還要洗衣服曬衣服，,但某次真的很不屑就回了一句「不踩才會有蘿蔔腿好嗎」
這種做法與美國和平運動分子在對待前蘇聯問題時採取的方式如出一轍，,他們呼籲美國領導人避免與中共領導人對立對抗的理由卻更凸顯問題。,認為中共對美國繁榮和安全構成了關鍵性生存威脅。,我們無法想像任何政治派別的美國人會對兩國之間爆發這樣一場破壞性衝突的前景感到高興。
你有尊重我歧視女人的立場嗎?,麻煩搞清楚「尊重的本質」好嘛,而不是「灌輸」他們:不能歧視女人,我現在教育妳:看到女人就強姦
https://i.imgur.com/IWZCkTU.jpg,https://i.imgur.com/CVpzYTK.jpg,=,別再讓學弟妹被荼毒=
「這個人遊戲打那麼爛一定是女生」,我不喜歡,覺得我難搞,「這個車開這麼爛一定是女的」這種話
可是有的人他卻無法排解，,一直以來我們用社會性別的意涵與人相處，,每一塊分別代表不同的情緒或受到的傷害，,這些對有些人可能沒什麼，
裡面有幾個人的行為令人感到不行,我原本以為大家不會都知道,有人來找我討論我才知道的,我真的是覺得那些人很不行聽不下去.....
https://i.imgur.com/YtFn3bV.jpg,https://i.imgur.com/zEQq6Ux.jpg,https://i.imgur.com/hrYgdGw.jpg,https://i.imgur.com/Qo2RsGc.jpg
有時候會出現因不正當交往被上級懲處的事情。,因什麼不正當交往被懲處，,是不是有性別歧視的嫌疑。,到底為什麼每次看到媒體報導警察同仁出事時，
https://megapx-assets.dcard.tw/images/db6565f7-ce07-4013-8ed2-368e39157926/1280.jpeg
不要讓少數的責難抹滅了這些警消人員的努力，,都有抱持著要為公司奉獻、改變社會的熱情，,有多少夫妻的離婚原因都是因為伴侶無法兼顧家庭與工作中的平衡而選擇分開的呢？,這個社會很殘酷，
https://i.imgur.com/FN6ayP6.jpg,https://docs.google.com/forms/d/1on39NE1yXz4E123MA-n4hrqt6a-80lkIuuGZmTL3bBc/edit?,ts=607c4028,祝大家期末都能歐趴
σ,結果對方好像沒感受出我很煩的樣子，,ˊ∀`)σ,受到能力或技能上的質疑，
不少人評論女生多做家事是壓榨女性,不是女生真的比較沒用,社會輿論會逼女生蠟燭兩頭燒,出社會薪水比女生多
最近面試了兩個工作,好奇大家會比較排斥那種職場環境,談話過程中對方就覺得好像覺得我什麼都不懂一樣,另一個就是同事跟上司清一色都是女生那種
https://i.imgur.com/jQByJ4E.png,https://i.imgur.com/IaK1rMg.png,https://i.imgur.com/GFgSf4e.png,https://i.imgur.com/sbxrE2Q.png
那種陪伴是我一輩子都不會忘記的感動瞬間。,「陪伴」就是愛情最好的告白。,因為只有在最無助的時候依然陪伴在身邊的人，,希望我也能活的像林志玲這樣溫柔又堅強的女人，
或者只跟粉頭玩的行為我真的看不下去,但是也不要只跟女生玩或是只帶女生吧,本人也是會跟女生玩的人,藍頭說要一起打都直接被忽略
或者只跟藍頭玩的行為我真的看不下去,我本人也是會跟男生玩的人,但是也不要只跟男生藍頭玩吧,只是近期有些粉頭只回藍頭留言
她只好頭皮和主管請家庭照顧假，,只要小孩生病就需要有個人請假，,甚至有位主管直接問妳會不會來沒多久就結婚？,但她回來上班就遇到很現實的事，
當然祝福對方能找到好對象啦😆,這樣他是不是有7.8成是🌈😂,稍早發現喜歡的男生ig追蹤都是一些健身男&🌈居多,沒有任何性別歧視！
into指陷入某種負面情況，,。幾個犯罪用語稍微認識：sexual,七位20出頭男孩的特質：down-to-earth「務實（,stereotypes「對抗愚蠢的傳統束縛」相當漂亮的用法可以學起來，
92.2%勞工在下班後或休假時間仍有用手機處理公務的經驗，,92.2%勞工在下班或休假時間仍有用手機處理公務的經驗，,受訪勞工中有76.1%在過去1年曾經無酬加班，,勞工認為工作上主要壓力來源為「工作量太大，
媽媽：但是女生可以⋯比較方便,那乾脆女生都不要生小孩有家庭，,媽媽：但女生終究要回歸家庭啊～,憑什麼女生要為了滿足男生而委屈求全
我認為言論的自由不該建立在危害社會的情況下，,請問學校未來對於明顯違反正常道德之候選人是否有相關審核機制及勸導。,我想請問關於學校對於三合一選舉其法律對於政見內容牽涉到種族歧視及性別歧視有無任何規範，,校方應該就要來看看究竟行政(不論是依法還是欠缺法條)上出現什麼問題，
請立刻尋求本會或諮就組協助。,無法依據現行選舉罷免法之規範作出相對應之決議致生此事，,以求未來三合一選舉能更符合宗旨及體現民主自治的精神。,本會對此深表歉意，
這張圖片的內容我更可以接受,請問大家這張圖片會讓你/妳不舒服嗎？,會覺得這種圖片性別歧視嗎？,歡迎留言討論
幾個大男人抽煙好噁心,需要陰陽平衡一下,怎麼女生都不抽煙,這是性別歧視嗎
https://i.imgur.com/DWBKxAG.png,https://i.imgur.com/0oGC5Ok.png,上述舉例雖然是單一系的候選人政見，,學生會也在中午發布了選舉公報，
草案明定8種跟蹤、騷擾行為樣態，,而檢方若認為行為人罪嫌重大，,對特定人「反覆或持續為違反其意願且與性或性別有關」⋯所以你覺得這法律可以嚇阻跟蹤嗎？,行政院政務委員羅秉成近日兩度審查內政部所擬的糾纏犯罪防治法草案，
提醒孩子尊重的個別的不同，,也利用朝會告訴學生葉永鋕事件，,才希望用標誌結合性平教育，,代表學校跨出面對歷史的第一步，
出軌的動機也會高很多——而沒錢的女性為了獲得更好的生活，,所以只要發現你的另一半曾經因為劈腿而分手就要十分小心！,「出軌、劈腿與外遇」都是許多人在感情中與親密關係中的噩夢。,可以視為浪漫卻不一定美麗的意外，
找不找得到能夠無條件照顧她一生的另一半，,我不想接受現實真的只能如此，,等到單身之後才發現之前為了未來要生小孩這個可能性錯過了好多學習的機會，,今天來寫一些跟感情無關的事情。
所以一定有些人會到比較遠一點點點的地方抽🚬,是沒聽過口罩要戴到鼻子以上ㄇ？,抱歉你只會得到手手傷心&如何回家,當然我當下只能說「不好意思麻煩您了😀」
只是想要寫關於「社會」這個維度的故事錯了嗎？,我想這就是只在意他們所謂的「故事」，,希望年輕一輩的影視圈人們可以改變這糟糕的風氣。,難道議題不是故事嗎？
但是我覺得身為要當老師的人，,還有很多小議題大家自己體會。,就是把握機會、參與實務。,《老師，
致影響他人之人格尊嚴、學習、或工作之機會或表現者。,致影響他人之人格尊嚴、學習、或工作之機會或表現者。,疑惑,在這邊或許也有很多人
https://i.imgur.com/qgCGYOe.jpg,https://i.imgur.com/t8IhZeg.jpg,https://i.imgur.com/uiGhtW5.jpg,，留言格式：
男性開腿象徵的不只是一種人類社會問題，,它主要由男性所為、是個男性化的行為、背後有整個父權社會的支持，,女性主義者也不認為任何男性霸權都會直接導致性暴力、貧富差距與環境破壞發生，,並不會鼓勵女性做出開腿佔位的行為，
但女人被罵翻，,荒謬的大男人沙文主義欸，,就是骯髒的貞操道德綁架啊。,沒人說男生easy
繁星制度會參考在學成績完全是個荒謬的方法,縮短城鄉差距變成消滅明星高中的手段make,自此開始看不起繁星,繁星優點：
NCAA籃球錦標賽官方提供給男女球員的健身器材差很大😡，,男子籃球教練組織「全國籃球教練協會」（,NCAA籃球副總日前公開道歉坦承疏失😏。,並已為女子組賽事增添訓練設施😠。
男生還要走去B棟3樓才能上,那為什麼B棟3樓不做兩間男廁,做兩間女廁衝三小,性別歧視是不是啊？
https://i.imgur.com/xihEeIy.jpg,https://i.imgur.com/hUvA3LP.jpg,https://i.imgur.com/ZQXaVOh.jpg,https://i.imgur.com/WBEgz84.jpg
今天莫名其妙跑去找他哀居，,雖然原因是因為好像是看到他跟某個女生很好，,我也不知道為什麼他沒有睡，,我每天都不想那麼快回家，
珍愛藻礁公投連署領銜人潘忠政的臉書帳號成為已限制帳號，,臉書已限制潘忠政帳號部分功能。,該內容違反Facebook『社群守則』而遭刪除，,臉書今天回應，
了解校內學生對性別友善設施的需求及看法，,作為校內推動性別友善設施之參考依據。,及性別友善設施相關議題有興趣的嘉藥師生，,各級學校應考量學生及教職人員之不同性別、性別認同等，
男性其實也是很大的受害者而不自知，,使得男性被迫承擔更多不合理的責任、壓力以及剝奪了表達情感的能力，,不知道日常生活中的大家能否看到一些潛在的性別歧視呢？,"希望能給些意見也小小順便徵個有沒有人想要一起討論看看"
大咖的政客和新聞臺則是裡頭常常諷刺的對象,劇中除了警察劇有的懸疑推理之外，,劇中也會諷刺許多人的醜陋面,而且劇組每集的開頭都有小彩蛋
女性-2.,狡詐-醜化女性,非人形女性-醜化女性,穿著暴露-物化女性
就只是不懂在D卡上問問題就被一群男生罵來罵去的⋯,為啥有些男生那麼的仇視女生呢？,難到男生問的就不會被嘴幹了嗎😒,真的是無言到不行⋯
我媽說：房子沒有在留給女生的,我從小就因為家庭體會到身為一個女生的「不公平」，,我媽就說反正我男友爸媽一定把房子留給他,哪間房子是哥哥的哪間是弟弟的
