title,href,context,hashtag
多少人還支持活摘器官+性別歧視+高傲自大+防疫不力的人,https://www.dcard.tw/f/mood/p/236550709,如題 真的還有人支持有他嗎 他被控活摘器官 而且還會性別歧視大男人主義 多少新聞他瞧不起女性 不支持同志 講話起來就高傲自大 阿不就你最厲害 現在全台都被他還害慘 這樣防疫不力的人 這種人還會有人支持嗎？ 我也問過台大的幾個朋友了 最高學府的人也無法理解 怎麼會有人死粉支持,"時事,政治,台灣,疫情,政治人物"
學歷真的很重要嗎？,https://www.dcard.tw/f/mood/p/236535589,常常逛感情板，發現這個問題已經被討論過許多次了，好像絕大部分女生以及過半數的男生會覺得高學歷是個加分項，讓我覺得自己是個異類😅 對我來說 1. 一般學歷＞＞＞高學歷 ex: 大學畢業⭕ 博士學歷❌ 可能跟個人因素也有關係，我會覺得唸到博士有點浪費寶貴的青春與人生（有唸博士的拜託別炮我QQ），而且對工作不見得有實質上的幫助（除非是要當教授），然後在某個學術領域專研太久，感覺整個人會變得有些古怪？（男女都適用） 2. 中段或後段學校＞＞＞頂大 ex: 輔仁淡江文化⭕ 臺清交成政❌ 不知道為什麼，總覺得讀程度一般的大學的女生最有魅力（？） 她們很容易有一些特質，像是好相處、聊天很輕鬆、言行舉止跟個性很可愛之類的 反而頂大女生普遍眼光很高，要求也蠻多的，還會給人一種高傲的感覺（主要以比例上來說，沒有說全部人都是如此，還有頂大男生也有這種狀況，我沒有要性別歧視QQ） 3. 科大＝普大 ex: 文藻外語大學⭕ 國立師範大學⭕ 發現職校的學歷好像在擇偶市場並沒有那麼受歡迎，但我覺得其實科大也不乏許多聰明、有人生規劃的女生，可能她們只是不擅長背書，或是數理程度比較差，更可能是壓根就對讀書沒興趣（我觀察下來很多是這種人），也不代表真的智商低落或是生活能力差吧？（以優生學來說低學歷會生出笨小孩嗎？說真的我很懷疑這個論點） 總結 感覺傳統意義上的好學歷反而沒有特別的吸引力，甚至讓我覺得蠻無趣的，感覺就像是被這個世界的制度綁架了，整體來說缺少了一種獨立自主的勇氣以及獨一無二的自我價值（我相信也有很多會玩又會讀書的，只是說說個人感覺，沒有想要以偏概全的意思） 不知道有沒有想法跟我一樣的男生呢？有的話可以讓我知道一下嗎XD,"感情,愛情,價值觀,結婚,大學"
教大家怎麼逼退噁心親戚,https://www.dcard.tw/f/mood/p/236509971,身為家裡隨時會被毒親戚入侵的人， 版上隨便一篇都是在說我家的故事， 大家都把我的故事講完了， 所以這篇沒有前情提要， 直接以毒攻毒，認同再往下走，謝謝 1.偷東偷西偷私人物品還偷錢： 裝攝影機，只要他們出房間活動，全程監控他們！ 我們家是只要他們在就會全部打開，監暴他們！ 憑什麼自己的生活被髒東西入侵， 他們卻過得無比安穩呢😏 2.打包所有能吃的罐頭冰箱蔬菜水果： 在他們要抵達家裏之前， 先囤一波不吃的、快壞掉的、被蟲咬爛的， 實驗證明，我家那群毒姑有得拿回全部拿走哈哈哈 3.性別歧視 情況一： 如果遇到男親戚直接跟你說， 女生最好去隨便找份工作， 然後在裡面找個有工作的嫁掉就好了 直接回他： 這麼隨便，我怕像姑姑一樣挖到屎坑 情況二： 如果遇到親戚問你結婚怎麼不生， 女人不生生來幹什麼？ 你可以回他： 請問你是種豬還是種母嗎？ 生而為人，我很抱歉 4.要你幫他拍網美照，嫌你拍得腳不夠長： 買面鏡子送他吧！他家可能沒鏡子 這不能怪他，做人要有同理心 但我最氣的是他直接像🐒一樣爬上裝置藝術 講不聽，這我真的沒辦法， 因為不討喜沒人氣，公審也沒人要看， 我比他更難過。 最後來個最近疫情相關的： 口罩戴下巴，警告他還會發出像豬叫一樣的笑聲： 不要急，慢慢等下一次機會 (通常這種機會很快就來了，畢竟狗改不了吃屎) 機會一來，直接匿名報警，然後在旁邊坐等看戲！ 有機會的話可能可以聽到殺豬的叫聲了😆 疫情期間環島踩點把我們家當防疫旅館 ： 直接發文假求救真抱怨，但絕對不要指名道姓 畢竟這種不要臉的人通常都蠻玻璃心的 很容易對號入座，必須誇獎他們蠻有自知之明的👍 然後我就被刪好友了 被討人厭的親戚刪好友是什麼感覺？ 就是一個爽字啦！ 謝天謝地，趕快封鎖一波😝 當然這一切都是在對方充滿惡意的前提下 尊重是給值得尊重的人 求廣大卡友分享更多以毒攻毒法 也希望大家量力而為，小心服用 最後，祝大家早日脫離苦海！,"噁心,親戚,靠北,毒菇,惡婆婆"
TWICE「Perfect World」MV 如何解讀 ⚠️二更⚠️,https://www.dcard.tw/f/mood/p/236498011,⏬二更⏬ 感謝各位理性討論 （讚嘆言論自由的好👍🏻） 可能是因為我在這之前並沒有去關注 TWICE一路走來碰到的每件事 我也沒有去查相關消息 在看這個MV之前 我對於她們的心路歷程一點概念都沒有🥺 我只能稱得上是一個路人 無意間透過YOUTUBE演算法 接觸到這首歌 在看完MV之後有搜尋關鍵字 但不曉得各位是怎麼打的 我打「Perfect World MV討論/意涵/解讀」 之類的關鍵字 並沒有出現我想要看到的內容 所以上來Dcard發了這篇文章 在這之前我沒踩進追星板發文過 （我是SHINee的粉絲 但那時候有一件重大新聞時 Dcard都還沒有追星版 之後也沒在Dcard搜尋過韓星的相關資訊） 是有透過Google搜尋點進Dcard 但沒注意過看板是什麼 所以我也不知道有專板這種東西 我以為追星板就是所有的明星藝人的討論區 是我沒有做好功課讓大家誤會😢 我知道「物化」不是一個很好的詞😣 所以大家很努力希望TWICE的形象中 不要被這個詞貼上標籤 才盡力解釋這個MV想要傳達什麼含意 所以我也很努力去從各位的角度去重新認識MV 但我發這個文的目的也不是為了要貼標籤 我單純就是欣賞完之後 覺得MV讓我感到不舒適 即使看過你們每一個人的留言 我現在還是覺得MV並沒有像各位說的 有這麼明顯的傳達出這些意義 舉個例子： 「藍色窗簾代表憂鬱」 在作者沒說「藍色代表憂鬱」之前 我只是透過欣賞文章就判斷出「藍色代表憂鬱」 反而顯得有些牽強 那即使作者證實： 「對，你們說藍色代表憂鬱是我想表達的」 那很棒你們有GET到作者的用意 但藍色對我來說是藍天 我會覺得作者可能是希望看向窗戶時 藍色可以代表窗戶外一直都是像藍天一樣晴朗 所以藍色代表期待（？？？） 你們可以認為我的理解跟作者想傳達的意象有出入（實際上是有出入沒錯） 但不能否認這是藝術 本來就會因為透過不同觀察角度 而有不同觀點 然後說我落入男性視角才有物化的想法 我理解成「心中有歧視才會覺得什麼都有歧視」 那我舉個例子： 「Nigger/Nigga」在很久之前這是一個很嚴重的歧視用語（現在也是） 但現在很多人開玩笑打罵也會說出尼哥 但他們並沒有歧視黑人 可是這個詞從歷史來看 它就是歧視的存在 對我來說這個詞出現 就有歧視的嫌疑 但我並不是說講這個詞的人就一定在歧視 希望大家分得清楚 我是覺得這個拍攝手法讓我覺得 MV是用「男性對她們著迷」來代表「她們很有魅力」 這個手法讓我覺得有物化 在1:50那段更加深我的想法 甚至1:56之後面具人開始暴亂 臺上人無動於衷 我看起來就不是像B44說的那樣 （但我能理解這個畫面能這樣解讀） 我看起來就是 「她們表演是在享受底下大家為她們爭鬥」 看起來就沒在反抗 然後有說到英文字幕有反抗 我就是覺得很衝突 才覺得MV為什麼是用這種方式來呈現 明明歌詞表現出來像是不需要男性 可是我從MV看到的是 「男性對她們迷戀 她們卻樂在其中」 如果一個作品一定要連歷史都摸清楚 才能夠理解它的含義 那受眾就只有一直追隨TWICE的各位 那我一個什麼都不知道的人看到了 卻不明所以 這樣不是很可惜嗎？ 真的再次感謝各位非常理性的討論 展現民主素養 也謝謝各位尊重我的想法 讓我沒有看到奇怪的評論(?) 各位的留言讓我對這個MV又有更深入的瞭解 雖然可惜的一點是 覺得同一派觀點的人太多 說的內容也很相似 提出不同觀點的人真的很少 能有不同的切入角度會讓這個MV更有討論空間 以上 ⏫⏫ 🔽更新🔽 大家的留言我都有看 又再去重刷幾遍MV 然後因為我看大家的留言還滿棒的 就有點捨不得刪掉再重發在專版 所以還請大家見諒 還有標題是我沒有三思🥺 真的很抱歉 現在已經改掉了 感謝喜愛TWICE的各位提醒❤️ 然後我在B38 B39 B41 B49有針對一些留言做回覆 還有說看不出哪裡物化 說歌詞就很清楚了啊 或是單純反駁我的觀點的 這裡統一回覆： 我是真的看完之後帶著這種不舒服的感覺 來詢問大家的解讀 有一些地方就是我的盲區 我才會這樣認為 所以非常感謝很多人認真解釋 我正在努力改觀🥺 再來是B12 B16 B44 B47的留言我覺得最能讓我理解 🔼🔼 大家好！ 我是TWICE這次回歸主打Alcohol-Free 才開始越來越密集關注她們 原本會注意她們 也只是因為很愛Mina的顏才會順道一起看(?) 真的覺得她好美😍😍😍 然後因為真的很愛這首歌每天聽100遍 每次看MV就覺得 天吶她們每個都豪可愛好漂亮怎麼看都不夠 就開始找她們的綜藝 然後被多賢亂舞(?)圈粉 還有Momo超強舞技跟志效超強電眼 整個把我電暈 但我才剛加入也不熟TWICE 還請各位溫柔接納🥲 我真的很怕被人說是黑粉才有以上的描述 可是我又覺得這個MV讓我心裡不太舒服 覺得在物化女性的感覺（更新之後加的這句） 所以才想問問大家是怎麼解讀這個MV的 我不是要引戰😰😰😰 Perfect World MV https://www.youtube.com/watch?v=fmOEKOjyDxU MV的一開始 她們是在舞台上跳舞 然後陸陸續續一些畫面是： 一些戴著面具看似男性身材的人（簡稱面具人） 想向她們獻禮 那些面具人神態有緊張的卑微的被美顏震懾的等等 然後她們在MV中表現的樣子是： 很有魅力但有點不屑(?)這些面具人 我暫時找不到更符合的詞請不要生氣QQ 我會這樣說是MV中0:28-0:30娜璉接過花後表情的轉變 然後到MV的1:20開始 可以看到臺下有很多桌面具人在觀看她們跳舞 然後面具人看起來非常著迷 感覺快控制不住自己做出什麼行為一樣 這裡就讓我開始有點不舒服了 我很努力想辦法代入：粉絲也會這樣啊 為自己的idol著迷才會有這些舉動 但我還是沒辦法理解那為何要用男性來代表粉絲呢？ 而且歌詞看起來也沒有這個意思 總之這邊就讓我開始不舒服了 然後到1:56開始 面具人已經從為之著迷到為之瘋狂了 底下開始暴動 可是臺上的人卻還在表演 然後換成更冶豔的服裝繼續跳舞 就這樣面具人暴亂到最後她們跳完舞 面具人拍手叫好下ending 我觀後心得是： MV想要表現出TWICE的每位成員很有魅力 是用「男性對她們很渴望」的方式表現出來 如果有看過「艾蜜莉在巴黎」的話 （⚠️以下暴雷艾蜜莉第三集⚠️） （怕被暴雷可以跳過❗中間內容） ❗❗️❗️❗️ 第三集有提到 香水公司拍廣告時讓模特兒全裸經過一排男性 而男性對裸女非常著迷 用這種方式來表達擦了香水之後男生都會愛上你 或是可以解讀成你就會很有魅力 但艾蜜莉覺得這是性別歧視 我覺得這就是物化女性（我是說香水廣告） ❗️❗️❗️❗️ 明明Alcohol-Free的MV裡每位成員都很有魅力啊！ （平常就很有魅力了） 根本不用透過這種方式來呈現她們的美顏 當然也有可能是我理解錯誤🥺😵‍💫 她們在MV裡的舞蹈看起來跟以往的舞不太一樣 感覺比較有力道看起來真的帥氣+100 服裝也真的帥很多 https://i.imgur.com/QIAtr7B.jpg https://i.imgur.com/7nVDyXg.jpg （抱歉我是從MV裡面截圖） 即使後面換成比較火辣一點的也超帥（我超愛這套） https://i.imgur.com/ymSzdKq.jpg 看看這眼神 已淪陷😍😍😍😍 只是我不能明白那些面具人代表什麼 我心裡一直覺得他們看起來很像在搶臺上的「物品」 然後「物品」又離他們很遠（物理或是心理） 所以他們只能看而已 然後用眼神去褻瀆(?)她們 我感覺這不像單純一般買票進場看表演的觀眾 （觀眾哪有在掐架的） 面具人表現出來的樣子也不像單純欣賞 感覺很想佔有臺上的人 讓我覺得非常不舒服😭 就覺得為什麼要用這種方式來呈現 好像她們是物品一樣😢,"TWICE,物化"
致仇女的男生們：你總有一天會遇到真心待你的人啊,https://www.dcard.tw/f/mood/p/236496250,嗨⋯大家好：）因為畢制的關係，最近在探討仇女/女權自助餐/父權紅利的關係（我們要錄製podcast，但這只是其中一集主題？） 總之在節目中我們會先解釋為什麼網路上會有這麼多仇女的言論以及探討這其中他們在網路寫下的那些「女人要打才會乖、台女就是見錢腿開啊、女權團體=女權自助餐、」等等我就不一一列出來的歧視言論。總之做了很多功課？以及看了很多男女互戰的文章後，我有一些自己的想法？因此在這邊寫了下來，歡迎大家一起討論߹𖥦߹（糾正或是指教都沒關係） 正文開始之前先小小提一下，我覺得現在很多男生這麼排斥女權團體或是把女權團體直接跟女權自助餐畫上等號的最大原因，應該就是因為台灣很多年輕一輩女生自稱女性主義者，卻只是挑著自己想要得到好處，因此那些台灣男生才會覺的女權是不是都是這樣的人。但其實很多女性主義團體是真的很努力地去推動平權、提倡正確的性別教育、甚至是幫助家暴中的婦女善用保護令、如何從喪偶中走出來等等，（每個派別做的事可能不一樣）那些女性運動不是要讓女性去對抗男性，而是希望結束那些社會上的性別歧視，性剝削和壓迫。由此可知，有些人才會覺得這些女權自助餐的人，是直接毀掉認真在做事的女權團體（不知道這樣推論是不是正確的） （正文開始）（啊啊抱歉廢話那麼多才開始） 我自己認為台灣會產生這麼多仇女，又或是說因為仇女現象因而仇男的人，都是因為太過「以偏概全」，覺得女生都是一個樣、覺得男生都是一個樣，但其實每個個體從來就不一樣，會有很公主的女生，讓人討厭，不管男女都會討厭；也會有很不尊重女生的渣男，讓人討厭，不管男女都會討厭，兩個性別在這個社會上都會有不同的壓力，或是很多錯的事情其實是不分性別的，只要那件事是錯的，我相信現在受過正確的性別教育的我們都是會不認同的。 我在低卡上好像看過一個留言，他說社會的風氣本來就是雙標形成的，男生外遇會被說渣男、下面癢，而女生外遇則是會被說老公對她不好、性生活不美滿導致；（接下來是我自己舉例的）聽到男生被強姦，大家會說現在的男生也要好好保護自己，但聽到女生被強姦，卻是檢討受害者，認為女生穿這麼少難怪會被強姦，但這真的是事實嗎？ 我們會看到很多人留言說「啊這篇文就性別正確啊，如果是藍/粉頭潑文就會被罵很慘等等」可是其實有時候仔細看，一件不對的事本來就沒有分性別啊，每個人做都是錯的，在一篇渣男文中，你會看到女生在罵，男生也會罵；在一篇公主文中，你會看到男生在罵，女生也會罵。 我覺得更多時候是自己的心裡面覺得這個社會是對自己的性別不友善的，往往才會覺得那些文章的風向好像都在針對性別。 這個世界上不公平的事很多，我知道還是有人在這個世代身處在重男輕女，抑或是父權掌控之下的家庭，那些對待、教育方法可能建立了你的價值觀，讓你覺得女生就是該被這樣對待，但在學校受過教育的你知道，自己不應該像上一代教育你的方式對待你身邊的女性的對嗎？甚至是你未來的妻子、未來的女兒，因為能夠翻轉下個世代，讓這個社會對於兩性都給予尊重、讓這個社會不再歧視自己的老婆、自己的女兒，也只有你自己啊。 而那些曾經被女孩傷過的男生啊，你們在螢幕後講出那些傷害女生的話語真的是真心的嗎？你們的未來還這麼長，遇到幾個不好的女孩子不代表這個世界只充斥那樣的人啊，我相信有一天你一定會遇到你尊重、且也尊重你的人對嗎？ 我相信台灣還是有很多女生（至少我身邊的女生朋友都是這樣想的）不會認為男生出錢是應該的、不會認為你應該要有車有房才能和你結婚、不會認為若是你的薪水低於她就是丟臉的表現，因為那些女生是愛你的啊，不是像你在網路上留的那些「女人就是愛錢、女人就是只能靠奶吃飯」那樣，這個女生，她會有能力、會對於你的付出珍惜且感謝，而你們的感情也會建立在互相尊重和互相體諒之上，所以你想想，若是你以後遇到了這樣一個女生，你會希望她看見你以前在網路上那些曾經傷人的話嗎？ 對我來說，男生女生都一樣，會有個性很糟糕的女生，也會有個性很糟糕的男生，但那些從來就不代表一整個性別，希望今天這些話能夠減少大家對於性別上的對立？能夠在現今這個社會中不再對任何性別感到排斥與仇恨。,"仇女,女權自助餐,男生,女生,性別"
#標的 海運三劍客,https://www.dcard.tw/f/mood/p/236495765,首先恭喜由綠轉紅！ 先聲明小弟是空手 （本來想說今天再跌一根就進去接 畢竟還是看好海運的 也覺得他的營收>他現在的股價） 在這還是想提醒： 1.海運還沒有站上各均線，短期不會像以前一樣每天8%9%在噴。 2.不管怎樣 海運還是一張十幾二十萬的股票，購買前不要只想著會怎麼漲，要知道跌一根就是幾萬塊的事（有鑑於最近很多賠掉幾年積蓄的文章）。 3.我認為現在買入航運就是長期投資，如此一來就不會有上沖下洗的心態變化。 - 結論： 1.本金不夠或是自認自己很韭菜別碰航運 真的不想再看到發文說這禮拜賠了多少積蓄== 很讓人擔心😘 2.居高思危 看到好多粉頭（沒有性別歧視但就我觀察事實就是如此）很不愛接納別人的建議，覺得別人提醒分批出貨就是航酸⋯ 他們的發文標題週期如下：航運紅通通>跌了，該出場嗎？>套牢者請進，我一天輸xx萬>大漲了，航酸請進 你們好ㄓˋ為之：）,"股票,理財,海運"
禁跨性別用女廁！雇主挨告2度敗訴⋯法院：無經他人同意之必要,https://www.dcard.tw/f/mood/p/236493532,"記者林育綾／綜合報導  跨性別者妞妞在2019年求職時要求使用公司女廁遭到拒絕，最後甚至不予錄用，該案在台灣伴侶權益推動聯盟協助下，向北市勞動局申訴性別歧視，公司遭罰30元後不服提起訴願遭駁回，再訴訟後又於5/27被台北高等行政法院宣判敗訴。法院認定，跨性別者有依自我性別認同生活的權利，用女廁「並無妨礙其他人使用，自無經他人同意之必要」。 2019年3月時，跨性別者妞妞到一家科技公司面試，面試過程相當順利，最後她向主管表示希望使用辦公室所在7樓的女廁，沒想到幾天後接到人資部門電話，表示詢問過其他女性員工後，有員工表示不願和妞妞共用廁所，因此要求她使用1樓的公共廁所。妞妞認為公司的要求太為難，寫了一封長信表達對此安排的疑慮，沒想到公司此後就拒絕回應，最後乾脆不予錄用。 隨後她在伴盟律師團協助下，向台北市勞動局提出申訴。而北市勞動局經過調查，認為該公司是因妞妞的性別認同而產生的廁所問題不予錄用，構成性別歧視，違反《性別工作平等法》規定，裁罰該公司30萬元。而雇主不服被裁罰，提起訴願遭到駁回後，又提起行政訴訟，如今法院判決該公司敗訴，公司未再上訴，目前判決已確定。 雇主在訴訟過程中辯稱，並非不提供廁所，只是必須顧慮他人的感受，關於此點，法院嚴正反駁，認定跨性別者有依自我性別認同生活的權利，妞妞使用女廁並不妨害他人使用廁所，也不需要經過其他人的同意。  至於公司為了平衡其他女員工的看法，提議要她使用1樓廁所，法院認為公司此舉「看似為中立性決定，然其越殂代庖代輔助參加人（指：妞妞）向第三人公開其性別認同」、「無異於強迫輔助參加人接受一般男女二元對立下之主流觀念及刻板印象」，公司如此處置，對妞妞「更可能產生烙印之效應，否定其性別自我認同」。  伴盟律師許秀雯表示，此案的勝訴，不只是還給妞妞應得的正義，而且法院正面肯認性別認同屬於憲法保障的基本人權，台北市勞動局所作處分以及台北高等行政法院的判決，堪稱「跨性別人權新的里程碑」，未來若雇主拒絕跨性別者依據性別認同使用廁所，或任意給予其他不合理的差別對待，也將可能面臨法律追訴的後果。  伴盟簡至潔秘書長則表示，礙於台灣變更性別的條件過於嚴苛，依照伴盟2020年的調查，台灣有近9成跨性別者並未變更身分證性別，造成許多跨性別者即使已經以認同性別生活多年，仍會在學校、職場等遭遇使用廁所的困境。 而近來網路上有部分民眾批評此判決，認為此決定完全不考慮雇主建置友善廁所的成本，此判決先例一出，未來將會造成雇主不再願意雇用跨性別者。對此，伴盟潘天慶律師澄清，此案的判決並未要求雇主另外建置其他性別友善廁所，而是認為「跨性別女性有權使用既有的女廁」，因此並沒有所謂增加雇主成本的問題。  潘天慶進一步說明，雇主有義務為員工的性別隱私保密，在妞妞未主動向他人出櫃以前，其他員工無從知悉她的跨性別身份，因此理論上也不會有其他員工感到困擾的問題。他強調，提供員工性別平等的職場環境是企業主的責任，也是《性別工作平等法》立法的精神與原則，目前台灣已經有不少企業主，將多元共融納入企業經營的重要理念，盼她的案例，能再次提醒雇主見賢思齊，見不賢而內自省。  而當事人妞妞表示，特別感謝3位法官在開庭時，認真聆聽自己完整陳述意見，整整6分鐘完全沒有打斷，希望這一次的努力，可以為未來的跨性別者打開一個空間，不用再任由資方主導一切，也期許未來有更多跨性別者站出來爭取權益，一棒接一棒，改善跨性別者的生存處境。 https://www.ettoday.net/news/20210715/2031619.htm","時事,跨性別,性別議題,LGBT,職場"
男友覺得三萬不夠,https://www.dcard.tw/f/mood/p/236493142,很奇怪誒 我們女生 難道就不能賺少一點嗎？ 可以給男生賺啊！！ 為什麼我們瘦弱女生 要讀理工、要做自己不喜歡的事情才能獲得高薪？ 有夠沙文主義、刻板印象、性別歧視的 我領三萬 男生領7萬 我就有10萬收入了啊 這樣的高收入可以讓我去網美餐廳 吃飯、拍照、打卡、追蹤！ 讓各多人認識我啊 奇怪 誰像你們男生犧牲自由/夢想領那樣的薪水！ 哼哼 女生站出來！不要被男生一言堂了！ 我領三萬 我驕傲,"女友,月薪,工作"
校隊180帥哥是母胎單的原因,https://www.dcard.tw/f/mood/p/236489581,現況是我跟這個男生已經沒有在約會了，我們約會的期間不到兩個月，以下分享的兩則故事，對我而言都是非常奇葩的經歷。 以前約會的男生都是同溫層內找的，所以這次真的有讓我訝異到，也算了解到異溫層的性別意識水平吧。 男生他今年20歲，我本人21歲，供大家參考。 1 他：「欸我問你哦，女生成績都比男生好是不是因為女生不會有很多興趣，像是打電動跟打球？」 我當下整個疑惑到愣住，硬要說的話醫學系普遍而言還是男生較多吧，「女生比較乖所以功課比較好」到底是哪來的鄉下觀念，都幾歲了還在那邊「男生比較愛玩」哦⋯ 仔細一想，他的生活還真的只有電動跟籃球，難怪三天兩頭被搭訕卻從來沒交過女朋友。明明是有妹妹的人，也有幾個女生朋友，我真的不懂他怎麼有辦法20歲了還過著像高中小處男一樣的生活。 2 有一次他在睡覺，我和我gay密講電話講了40分鐘，中途他有醒來然後去買早餐回來。掛掉後我說，抱歉剛剛是不是把你吵醒， 他：「對啊，沒關係啦，只是覺得你講電話的樣子很像八婆」 我：「呃 蛤？」 他：「就很像那種會在咖啡廳裡一邊喝飲料一邊聊別人八卦的女生，看了就很討厭」 我：「ㄟ你說對了，我就是那種女生，我超愛講別人八卦誒，聊八卦是我人生中最大的興趣之一🥰」 我自己生活圈內的人，不論男女都算well educated ，所以已經好久沒親眼目睹這麼經典的仇女心態。 我：「你該不會覺得女生就應該要溫良恭儉讓，像是『我對八卦一點興趣都沒有，談論別人的是非很無趣，我只想把時間花在乖乖盡本分上』這樣吧」 我相信當然有這種女生存在，但重點是，你不能覺得女生都「應該要這樣，如果不這樣就不是好女生」，❗️這就是性別歧視哦❗️ 而且不管怎麼說，我長得就完。全。不像那種女生啊～ 然後啊，「八婆」這個詞讓我超級無敵尷尬到難以啟齒耶，我上一次聽到這詞好像是小學二年級，想知道南部是很愛用這個詞嗎？（無惡意） 打完手好痠，懶得做什麼結尾了，反正就是覺得，他這樣如果還交得到女朋友我也是佩服啦。,
有關職場的公用空間使用大家看法如何呢？,https://www.dcard.tw/f/mood/p/236482974,最近因為有家公司以女同事反對跨性別員工使用女廁為由，拒絕僱用而成立就業歧視被裁罰。 而我目前工作的地方，在到職的第二天臨時將一間隔壁科室的女廁改成性別友善廁所(明明座位旁邊就有女廁)，並被告知隔壁科室有性別友善廁所可以使用 雖然這半年都認命地跑去比較遠的友善廁所，但在裡面幾乎只會碰到男同事，有時候自己也會覺得尷尬盡量不去，或是看沒人的時候偷偷溜進去，明明是友善廁所卻上得如此不舒服。 想問是不是職場提供友善廁所，就沒有性別歧視的問題，而跨性別就應該只能去友善廁所呢？還是一樣可以去自己認同性別的廁所？ 要兼顧同事的觀感跟自己心裡的感受，真的很困難，因為在這個職場一般的女生幾乎不可能選擇上友善廁所 #友善廁所 #標籤化 https://i.imgur.com/Zrwl5oX.jpg,跨性別
