title,href,context
Re: [問卦] 性騷擾的定義到底是？,https://www.ptt.cc/bbs/Gossiping/M.1627424974.A.427.html,"※ 引述《czoo00 (Ru)》之銘言：

性騷本就是主觀,
金城武可以你肥宅可以嗎?
不自量力!!!!
帥哥醫生可以翁立友你可以嗎?
身體是雞排妹的
可不可以必須由他決定

就像之前體育台糗爺事件
黑人球星可以搭肩
你糗爺沒經過女主播同意就是性騷
帥哥醫師球星觸碰美人令美人心神蕩漾
肥宅觸碰美人讓美人噁心想吐!!!

肥宅唯一出路就是讀通馬克思唯物論
改變自己在社會生產關係中的階級地位

馬克思唯物論認為社會下層建築決定上層建築
下層建築就是經濟生產方式和生產關係
上層建築則是政治 宗教 價值 文學 藝術 法律 審美.........

改變自己在社會中生產地位關係之後:
https://tw.appledaily.com/finance/20060330/HDXSMVR6FFSI2E25ILJPZWZCKY/
https://tw.nextmgz.com/realtimenews/news/16684538
https://www.mirrormedia.mg/story/20210129fin005/
: 郭婞淳今天被教練抱了起來
: 抱起來的時候露出了怪表情
: 想知道如果今天教練是女生的話
: 會不會有人提出性騷擾的問題
: 現在是多元開放的社會
: 男生男生
: 女生女生
: 都可以結婚了
: 不只男女授受不親
: 男男女女都授受不親好嗎
: 今天假如郭婞淳的教練是女教練
: 郭被抱起來的時候做了怪表情
: 大家會說是性騷擾嗎？
: 不說性騷擾的話這種男女間才是性騷擾的刻板印象
: 對不起這個多元社會吧
: 有卦嗎？
: https://i.imgur.com/ljckv30.jpg

"
[問卦] 性騷擾的定義到底是？,https://www.ptt.cc/bbs/Gossiping/M.1627415493.A.B57.html,"郭婞淳今天被教練抱了起來

抱起來的時候露出了怪表情

想知道如果今天教練是女生的話

會不會有人提出性騷擾的問題

現在是多元開放的社會

男生男生

女生女生

都可以結婚了

不只男女授受不親

男男女女都授受不親好嗎

今天假如郭婞淳的教練是女教練

郭被抱起來的時候做了怪表情

大家會說是性騷擾嗎？

不說性騷擾的話這種男女間才是性騷擾的刻板印象

對不起這個多元社會吧

有卦嗎？

https://i.imgur.com/ljckv30.jpg

"
[問卦] 木村拓哉這樣從後面擁抱粉絲算性騷擾嗎？,https://www.ptt.cc/bbs/Gossiping/M.1627415006.A.CA3.html,"https://laughseejapan.com/watch?v=108&list=311

如題
求解，木村拓哉這樣突然從後面擁抱女生是不是很不禮貌，這樣算嚴重性騷擾嗎？
身為男生，我看了覺得有點噁心

"
[新聞] 「動視暴雪」爆長年性騷擾、歧視女員工 ,https://www.ptt.cc/bbs/Gossiping/M.1627223381.A.A19.html,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）
地球圖輯隊

2.記者署名:
※ 若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天
※ 外電至少要有來源或編輯 如:法新社
2021-07-23 by：阿雀

3.完整新聞標題:
※ 標題沒有完整寫出來 "
[新聞] 前一天才性騷擾 男子又抓女友雙峰被判刑,https://www.ptt.cc/bbs/Gossiping/M.1626883225.A.FE6.html,"1.媒體來源:
自由時報

2.記者署名:
記者吳政峰／台北報導

3.完整新聞標題:
克制不住？前一天才性騷擾 男子隔日又強抓女友雙峰被判刑

4.完整新聞內文:
https://i.imgur.com/qVbE7bE.jpg
黃男強抓女友乳，被判刑九月。（示意圖，與本案無關。記者吳政峰攝）

黃姓男子去年7月間心情不好涉嫌性騷擾一名女子，隔天跟女友吵架，又在樓梯間強抓女友
胸部。女友火大，堅持提出強制猥褻告訴，一審新北地院判黃男9月刑，二審高等法院指他
無法克制性衝動，認原審量刑合理，駁回其上訴。

去年7月間，黃男與女友吵架，心情不佳，竟性騷擾一名女子。隔天，兩人又在同居處爭執
，女友氣得離家出走，黃男尾隨其後攔阻，見女友堅持離去，他竟然把她推向牆角。

女友行動自由被限制，用力推擠並試圖尖叫，未料黃男竟用手摀住其嘴，阻擋呼救，甚至進
一步強行揉她的雙峰。女友氣炸，堅持提告，雖然黃男有悔意，但迄今未和她達成和解。

一審新北地院判黃男9月刑，必須入獄；黃男認為判太重，上訴求減刑。

但二審高院指出，黃男前一日曾性騷擾另名被害人，隔日又硬揉女友胸部，可見其無法抑制
自我性慾衝動，造成女友身心受創，迄未達成和解，賠償損害，犯後態度不佳。

黃男雖然在高院於審理時，陳明願按女友求償金額全數賠償，但所提分期付款條件被女友拒
絕，和解未成立。

高院審酌黃男案發前一日曾性騷擾其他女性，及其犯後未能與女友達成和解、賠償損害的犯
後態度、對女友身心造成難以彌補陰影、創傷等情，認為原審量刑9月合理，駁回黃男上訴
，仍可上訴。

5.完整新聞連結 (或短網址):
https://reurl.cc/W37aZ9

6.備註:
https://i.imgur.com/hVV5j2v.gif
https://i.imgur.com/mAYZR2K.gif
https://i.imgur.com/Op0iE7W.gif
https://i.imgur.com/VvnXAkS.gif

"
[問卦] 在女生的粉專說要「媾」你，算性騷擾？,https://www.ptt.cc/bbs/Gossiping/M.1626854145.A.5C4.html,"剛剛在看某可愛女生的粉專
結果出現這種簡體留言
https://i.imgur.com/sNCzExy.jpg
這不算性騷擾嗎？
中國人都這樣沒有平權觀念嗎？
有沒有「媾你」，不算性騷擾的卦？

"
[問卦] 女同事要告肥宅性騷擾,https://www.ptt.cc/bbs/Gossiping/M.1626850267.A.0F3.html,"如題
肥宅看到女同事的貓
脫口說了一聲好想吸妳的貓
她說貓有性暗示
這是性騷擾！

現在吵著要告肥宅
何解？
有沒有肥宅常被誣告的八卦？


"
[問卦] 這樣算性騷擾嗎??,https://www.ptt.cc/bbs/Gossiping/M.1626841573.A.9D3.html,"事情是這樣的

剛剛本肥去買便當

選好主配菜之後

自助餐的阿桑用橡皮筋要把便當綁起來

可是不知道為何

橡皮筋就飛了出去

剛好彈到我的老二上

當下

覺得滿不舒服的

請問這樣有構成性騷擾嗎??

有八卦嗎??

"
[問卦] 保時捷男可不可以告雞排妹性騷擾?,https://www.ptt.cc/bbs/Gossiping/M.1626247519.A.778.html,"#身體自主權

# ME TOO

#我可以讓你牽手 沒說可以在公開場合捏我屁股


男女真正平等對吧!?

男生在公開場所捏女孩子屁股 就說不禮貌&不尊重

那是不是女生在公開場所捏男生屁股 也可以說不禮貌&不尊重

百分百支持保時捷男提告

男女平權 自己的身體自己保護

要不然 only one碰尾椎怎麼算?

各位說484 !!!!

"
[問卦] 翁立友能出來說他不是世俗認定的性騷擾,https://www.ptt.cc/bbs/Gossiping/M.1626244656.A.6A4.html,"今天有人出來說 她不想被當小三
所以跟對方不是世俗認定的男女朋友關係 反正就是老娘我說了算
你們都世界俗人的眼光

那only you要是開記者會那天就說
因為他不想被當犯罪者
所以他講的話或碰了誰
都不是世俗認定的性騷擾
這樣各味雞粉可以接受嗎？


"
